,ID,Name,Brand,Colour,Catagories,Price
0,74416,Runway stripe dress,Stella McCartney,beige,dresses,111
1,73815,Reformation Kourtney Dress,Reformation,beige,dresses,50
2,73801,Ivory Viola bridal dress,Ghost,beige,dresses,75
3,73718, Pasu Dress - Rhino Tusk,Coucoo,beige,dresses,37
4,73605,Ellen,RIXO,beige,dresses,47
5,73583,Elena Dress Crystal Garden ,Stine Goya,beige,dresses,64
6,73007,OBlanc Dress ,New Arrivals,beige,dresses,145
7,73245,Melody Dress,Melissa Odabash,beige,dresses,52
8,73050,Isamaya Dress,Rat & Boa,beige,dresses,38
9,73019,Belted Animal Print Mini Dress,ROTATE BIRGER CHRISTENSEN,beige,dresses,39
10,72873,Pasu Dress in Rhino Tusk,Coucoo,beige,dresses,38
11,72572,Embellished Strapless Midi Dre,alexandre vauthier,beige,dresses,72
12,73572,Mark Dress Abstract,Stine Goya,beige,dresses,45
13,72762,Rose wrap dress,Farm Rio,beige,dresses,39
14,73880,Jade starfish,RIXO,beige,dresses,63
15,72752,MARI SATIN MIDI DRESS,Ghost,beige,dresses,33
16,72672,JOANIE WHITE,RIXO,beige,dresses,38
17,73348,Bea Dress,Reiss,beige,dresses,51
18,72570,Bartola Dress,Gimaguas,beige,dresses,43
19,73479,The Shantel in Ditsy Floral,RIXO,beige,dresses,44
20,72634,Nula Sequin Dress,Rat & Boa,beige,dresses,47
21,72483,SAMARIA DRESS,House of CB,beige,dresses,44
22,74338,LUCIE WHITE DRESS,Nadine Merabi,beige,dresses,55
23,74334,LULU WHITE DRESS,Nadine Merabi,beige,dresses,62
24,72496,Cut-out midi dress,& Other Stories,beige,dresses,30
25,72184,Darcy Open Back Knit ,Ronny Kobo,beige,dresses,48
26,73798,rhinestone bustier dress,H&M Studio,beige,dresses,33
27,72072,Freya dress ,Galvan,beige,dresses,86
28,72018,AJE Botanical Mini Dress,Aje,beige,dresses,72
29,72037,Bran Dress,Reformation,beige,dresses,47
30,74312,Amalfi dress (vintage print),Johanna Sands,beige,dresses,41
31,71880,Fringed floral-print crepe ,Farm Rio,beige,dresses,77
32,71842,Hadasa Corset Dress,Andrea Iyamah,beige,dresses,97
33,71747,BURBERRY SILK DRESS,Burberry,beige,dresses,139
34,71521,Sonia dress,Beulah London,beige,dresses,52
35,74027,Maya Maternity,Maya Deluxe,beige,dresses,41
36,71685,Claire vintage plates dress,Kitri,beige,dresses,36
37,74297,Colette ,Nadine Merabi,beige,dresses,62
38,74296,The Didi Linen Dress,RIXO,beige,dresses,25
39,74191,The Louisa maxi dress ,For Love and Lemons,beige,dresses,62
40,74243,Charlie Printed Shirt Dress,Stella Nova,beige,dresses,42
41,71635,Tilden Mesh Maxi,Ganni,beige,dresses,44
42,71781,Tribal Theory Bat Sleeve Dress,Camilla,beige,dresses,66
43,73755,Rainbow Forest Maxi ,Farm Rio,beige,dresses,49
44,72900,Assisi Dress,Rat & Boa,beige,dresses,38
45,71514,Leopard tie bank mini dress ,Ganni,beige,dresses,49
46,71821,Laviza Dress,Rat & Boa,beige,dresses,58
47,71476,Aje P Drs Botanical App Dress,Aje,beige,dresses,101
48,73724,Ombre dress,MUGLER,beige,dresses,118
49,71449,Richelieu dress,Farm Rio,beige,dresses,49
50,73144,Rose Collar Dress ,Coco Fennell,beige,dresses,43
51,73141,Lavinia dress,Rat & Boa,beige,dresses,41
52,72311,Lara Sequinned Mini dress,RIXO,beige,dresses,42
53,70028,Joana Floral Silk Midi Dress,Reformation,beige,dresses,65
54,72249,One shoulder spotty dress,Self-Portrait,beige,dresses,52
55,71426,La Robe Maniu,Jacquemus,beige,dresses,73
56,71380,Soar Like an Eagle,Camilla,beige,dresses,97
57,71336,Harlequin Rose Ruffle Gown,Needle & Thread,beige,dresses,183
58,71127,Ruffle maxi dress floral ,FOREVER NEW,beige,dresses,32
59,71130,Wanda Fish Dress,ALEMAIS,beige,dresses,64
60,71107,Cleménce Fleur Midi Dress,Olana,beige,dresses,50
61,71080,Sandro Anvers Crochet-Knit Mid,Sandro,beige,dresses,62
62,70944,Bayou dresd,Zimmermann,beige,dresses,149
63,70947,Kira dress,Erdem,beige,dresses,199
64,71247,Skage midi dress,Iro,beige,dresses,44
65,71242,Atlanta linen midi dress,Sleeper,beige,dresses,41
66,70714,Star Mesh Midi Dress,Self-Portrait,beige,dresses,67
67,70464,Fontaine Lace Trim MIDI Dress,Reiss,beige,dresses,45
68,70344,Tatiana dress,House of CB,beige,dresses,60
69,70357,Sabrina dress,House of CB,beige,dresses,60
70,70320,The Eliyzza Dress,Ted Baker,beige,dresses,59
71,70324,Taupe Jersey One Shoulder Midi,Self-Portrait,beige,dresses,45
72,70258,Floral wrap dress,& Other Stories,beige,dresses,33
73,70291,Christy Ivory ,Realisation Par,beige,dresses,22
74,70936,Oriental dress,Valentino,beige,dresses,259
75,70105,Maggie Vintage Plates Maxi Dre,Kitri,beige,dresses,47
76,70068,Bella Polka Dot Maxi Dress ,Sleeper,beige,dresses,43
77,70162,Maddison Maxi Dress,RIXO,beige,dresses,52
78,70542,Silk Linen floral tie up maxi ,Zimmermann,beige,dresses,106
79,70508,Rose gold tulle gown ,Monique Lhuillier,beige,dresses,227
80,70753,Cecelia Dress,Shona Joy,beige,dresses,114
81,70845,Frankie Linen Dress (Admire),Reformation,beige,dresses,48
82,70767,Ranchi Linen Dress,Maje,beige,dresses,56
83,70858,Fendi Monogram Dress,Fendi,beige,dresses,36
84,70862,Green Prada Nylon Dress,Prada,beige,dresses,38
85,70273,Glove dress,Loewe,beige,dresses,105
86,69971,Maggie Vintage Plates Maxi Dre,Kitri,beige,dresses,47
87,69891,Sand Fruit Forest Maxi Dress,Farm Rio,beige,dresses,43
88,69870,Dress,Bronx and Banco,beige,dresses,96
89,70204,Cara Two-Piece,Farai London,beige,dresses,23
90,70329,Silk PolkaDot Dress ,Diane Von Furstenberg,beige,dresses,58
91,70340,Marquise Dress,Sleeper,beige,dresses,46
92,70535,Joanie - Sarasa Blue,RIXO,beige,dresses,43
93,70550,Louisa White Dress,Nadine Merabi,beige,dresses,73
94,70567,Aires Cut Out Gown,SIR The Label,beige,dresses,101
95,70603,Cream rose lace midi dress ,Self-Portrait,beige,dresses,72
96,70192,Cowl neck leopard maxi dress,Rat & Boa,beige,dresses,48
97,70093,Candice Dress Satin Back Silk ,RIXO,beige,dresses,83
98,69344,Matteau maxi dress ,Matteau,beige,dresses,40
99,69618,Cairo Dress,De La Vali,beige,dresses,210
